,Unnamed: 0.1,Unnamed: 0,manuscript_title,team,doi_pre,doi_pub,original_research,OpenAlex_ID,ListofAlexIds,ListofNames,ListofOrcids,Role,Team,FirstLastName,ReferencedWorks,NumReferencedWorks,NumInternalReferences,CitedByCount,CitedByInternal,CleanedTeam,TeamsThatCited,ReferencedTeams,IntReferences,ReferencedIndividuals,CleanedTeams,CleanedPeople,DateCreated
48,263,263.0,LRRK2 at Striatal Synapses: Cell-Type Specificity and Mechanistic Insights,Awatramani,NA Review,10.3390/cells11010169,0.0,W4205765336,A5066027781,Loukia Parisiadou,0000-0002-2569-4200,Co-PI,Team Awatramani,Loukia Parisiadou,"['W1602704039', 'W1723773703', 'W1825906208', 'W1910661134', 'W1965798965', 'W1967271803', 'W1969608755', 'W1971064755', 'W1976947622', 'W1977391806', 'W1977792921', 'W1978419085', 'W1981327350', 'W1981704961', 'W1981761158', 'W1984679265', 'W1990045885', 'W1992483894', 'W1992632425', 'W1992975140', 'W1997362427', 'W2003981789', 'W2009071652', 'W2010095758', 'W2019006980', 'W2020635083', 'W2020887697', 'W2021097923', 'W2021209363', 'W2021760305', 'W2022415974', 'W2022483806', 'W2025783008', 'W2027254060', 'W2028796406', 'W2031031932', 'W2031345305', 'W2033485203', 'W2034574202', 'W2038069074', 'W2046623850', 'W2050453654', 'W2055632128', 'W2055927110', 'W2059863959', 'W2063127941', 'W2066538423', 'W2071700722', 'W2073157267', 'W2080536654', 'W2080681771', 'W2083438412', 'W2091507010', 'W2095338669', 'W2096905204', 'W2100300726', 'W2103454698', 'W2103464937', 'W2110157421', 'W2112286366', 'W2116709932', 'W2118830830', 'W2120272440', 'W2123408996', 'W2124659766', 'W2126238482', 'W2126920991', 'W2134362683', 'W2134829539', 'W2140727839', 'W2140826149', 'W2141001421', 'W2157765536', 'W2163258948', 'W2163783270', 'W2167932693', 'W2168458739', 'W2191546002', 'W2253950023', 'W2254068781', 'W2259231394', 'W2395933361', 'W2471911977', 'W2554526564', 'W2584710572', 'W2588958279', 'W2598122417', 'W2598412882', 'W2609407882', 'W2617325570', 'W2621775373', 'W2720580067', 'W2755670910', 'W2766537970', 'W2768016303', 'W2783717931', 'W2792666972', 'W2795590254', 'W2807919252', 'W2885927965', 'W2893109289', 'W2898266041', 'W2898290174', 'W2899593101', 'W2899704640', 'W2900833126', 'W2901835592', 'W2903283657', 'W2907839322', 'W2911354732', 'W2920406131', 'W2982613077', 'W2986932567', 'W2998215352', 'W3000974767', 'W3001241789', 'W3012317321', 'W3013404054', 'W3019998570', 'W3020923383', 'W3030464560', 'W3042837574', 'W3048909661', 'W3068292362', 'W3081421442', 'W3090404065', 'W3112289740', 'W3117050338', 'W3125287040', 'W3171048111', 'W3200164469', 'W3204672542', 'W3205174301', 'W4205358636']",134,2,24.0,0.0,['Team Awatramani'],[],['Team Alessi'],"['W3204672542', 'W3205174301']","['Dario Alessi', 'Suzanne Pfeffer']",['Team Awatramani'],['Loukia Parisiadou'],2022-01-25
49,268,268.0,Proportion and distribution of neurotransmitter-defined cell types in the ventral tegmental area and substantia nigra pars compacta,Awatramani,10.1101/2024.02.28.582356,,1.0,W4392291506,A5013611528,Thomas S. Hnasko,0000-0001-6176-8513,Co-PI,Team Awatramani,Thomas Hnasko,"['W1238819995', 'W1552189630', 'W1589665011', 'W1719392996', 'W1831515958', 'W1960895270', 'W1967616722', 'W1971055770', 'W1971434876', 'W1973747047', 'W1975558714', 'W1977934441', 'W1977994862', 'W1997065612', 'W2003367821', 'W2008721272', 'W2010408327', 'W2016029955', 'W2016558598', 'W2019307609', 'W2024680557', 'W2028474222', 'W2032627096', 'W2032980563', 'W2033263745', 'W2037500812', 'W2038296494', 'W2038825302', 'W2048601092', 'W2052323454', 'W2056413798', 'W2061072142', 'W2068420002', 'W2072952816', 'W2075549646', 'W2079497700', 'W2085741616', 'W2091680313', 'W2092463163', 'W2104135721', 'W2108867507', 'W2110665798', 'W2120390590', 'W2134330719', 'W2136916973', 'W2139495058', 'W2141196699', 'W2150465961', 'W2158404383', 'W2158662449', 'W2168202212', 'W2192128453', 'W2201272991', 'W2325687987', 'W2533973296', 'W2567343056', 'W2569240731', 'W2765662838', 'W2783295659', 'W2795299902', 'W2809608056', 'W2885927965', 'W2887114149', 'W2891329687', 'W2896389683', 'W2901000494', 'W2911688091', 'W2950113757', 'W3000474342', 'W3010748436', 'W3013064929', 'W3027412899', 'W3040191515', 'W3082054200', 'W325692610', 'W4206608424', 'W4206782405', 'W4214740095', 'W4225351759', 'W4226020367', 'W4236293349', 'W4242289937', 'W4254517513', 'W4280494930', 'W4319293045', 'W4322760598', 'W4378549112', 'W4380323169', 'W4381951364', 'W4383265040', 'W4385543838', 'W4387373549', 'W4389573301', 'W4391468705', 'W4391468743', 'W4396516737', 'W4396516936', 'W4399832373', 'W4403752702', 'W4403844898']",100,2,,,,,"['Team Awatramani', 'Team Edwards']","['W4385543838', 'W4387373549']","['Daniel Dombeck', 'Christopher Ford']",['Team Awatramani'],['Thomas Hnasko'],2024-03-05
50,279,279.0,LRRK2 mediates haloperidol-induced changes in indirect pathway striatal projection neurons,Awatramani,10.1101/2024.06.06.597594,,1.0,W4399456209,A5066027781,Loukia Parisiadou,0000-0002-2569-4200,Co-PI,Team Awatramani,Loukia Parisiadou,"['W1546116904', 'W1965798965', 'W1973461459', 'W1982827121', 'W1985517071', 'W1992365739', 'W2000636120', 'W2003014012', 'W2008566133', 'W2008762508', 'W2009447429', 'W2011935736', 'W2017400430', 'W2017989201', 'W2020025999', 'W2027702746', 'W2027967225', 'W2031170958', 'W2055632128', 'W2057029832', 'W2057859596', 'W2059863959', 'W2061863046', 'W2070017877', 'W2080790507', 'W2082406643', 'W2086880198', 'W2088605934', 'W2089683746', 'W2091996540', 'W2092416470', 'W2097744565', 'W2106350754', 'W2113282929', 'W2118830830', 'W2121071682', 'W2122072833', 'W2124300506', 'W2130238373', 'W2131465009', 'W2140727839', 'W2145594774', 'W2195696457', 'W2253950023', 'W2272666074', 'W2345356016', 'W2397032853', 'W2464732678', 'W2471911977', 'W2513891733', 'W2588958279', 'W2593373447', 'W2623680887', 'W2743091325', 'W2755670910', 'W2771406275', 'W2778615365', 'W2788130690', 'W2795590254', 'W2807919252', 'W2893109289', 'W2901261001', 'W2915426823', 'W2934839137', 'W3019998570', 'W3030464560', 'W3053159024', 'W3090404065', 'W3116416936', 'W3117224155', 'W3118515300', 'W3152744603', 'W3191000400', 'W3192933072', 'W3196897371', 'W3209226002', 'W4205765336', 'W4206839115', 'W4282914791', 'W4295350367', 'W4303699347', 'W4308620622', 'W4309076165', 'W4382798159', 'W4384206884', 'W4385552687', 'W4387407125', 'W4387892944', 'W4388233866', 'W4389233086', 'W4394603366', 'W4394930680', 'W4399537440']",93,4,,,,,"['Team Awatramani', 'Team Alessi', 'Team Reck-Peterson']","['W4205765336', 'W4309076165', 'W4387892944', 'W4389233086']","['Loukia Parisiadou', 'Suzanne Pfeffer', 'Andres Leschziner']",['Team Awatramani'],['Loukia Parisiadou'],2024-06-09
51,286,286.0,Molecular and spatial transcriptomic classification of midbrain dopamine neurons and their alterations in a LRRK2G2019S model of Parkinson’s disease,Awatramani,10.1101/2024.06.06.597807,,1.0,W4399457078,A5035273874,Daniel A. Dombeck,0000-0003-2576-5918,Co-PI,Team Awatramani,Daniel Dombeck,"['W1774334900', 'W1861860658', 'W1870304014', 'W1875506666', 'W1910661134', 'W1965798965', 'W1966343623', 'W1969276438', 'W1975558714', 'W1977776486', 'W1978793506', 'W1990251289', 'W1992365739', 'W2018558728', 'W2027969818', 'W2033485203', 'W2042789810', 'W2055619740', 'W2055632128', 'W2056413798', 'W2062186304', 'W2067147530', 'W2082347868', 'W2090285005', 'W2095088925', 'W2095323303', 'W2111525324', 'W2144534164', 'W2205544783', 'W2273032085', 'W2336893408', 'W2466948651', 'W2471911977', 'W2472469540', 'W2527849633', 'W2528543174', 'W2545771570', 'W2569240731', 'W2571740089', 'W2587126344', 'W2593303242', 'W2602156859', 'W2623843598', 'W2766537970', 'W2783220505', 'W2785323625', 'W2788130690', 'W2799979584', 'W2800392236', 'W2803110575', 'W2804847416', 'W2805277907', 'W2883053634', 'W2885927965', 'W2887114149', 'W2888695486', 'W2888909823', 'W2911688091', 'W2947312223', 'W2948506592', 'W2948949781', 'W2949177718', 'W2953381699', 'W2965801756', 'W2986932567', 'W2988565555', 'W2993255485', 'W2996481730', 'W3006180028', 'W3090404065', 'W3105563048', 'W3112410112', 'W3136908976', 'W3148879322', 'W3152071080', 'W3161364613', 'W3187544615', 'W3210849595', 'W3212648360', 'W3215065264', 'W325692610', 'W4205559708', 'W4205765336', 'W4225343266', 'W4225351759', 'W4229054631', 'W4294051824', 'W4309076165', 'W4309078860', 'W4313430490', 'W4317234536', 'W4378212544', 'W4379523913', 'W4382798159', 'W4385543838', 'W4385803173', 'W4387568450', 'W4388795086', 'W4389670373', 'W4389670555', 'W4389670703', 'W4390227304', 'W4390918418', 'W4392291506', 'W4393925242', 'W4404487008']",106,5,,,,,['Team Awatramani'],"['W4205765336', 'W4309076165', 'W4309078860', 'W4385543838', 'W4392291506']","['Loukia Parisiadou', 'Rajeshwar Awatramani', 'Daniel Dombeck', 'Thomas Hnasko']",['Team Awatramani'],"['Daniel Dombeck', 'Loukia Parisiadou', 'Rajeshwar Awatramani']",2024-06-09
52,287,287.0,Molecular and spatial transcriptomic classification of midbrain dopamine neurons and their alterations in a LRRK2G2019S model of Parkinson’s disease,Awatramani,10.1101/2024.06.06.597807,,1.0,W4399457078,A5066027781,Loukia Parisiadou,0000-0002-2569-4200,Co-PI,Team Awatramani,Loukia Parisiadou,"['W1774334900', 'W1861860658', 'W1870304014', 'W1875506666', 'W1910661134', 'W1965798965', 'W1966343623', 'W1969276438', 'W1975558714', 'W1977776486', 'W1978793506', 'W1990251289', 'W1992365739', 'W2018558728', 'W2027969818', 'W2033485203', 'W2042789810', 'W2055619740', 'W2055632128', 'W2056413798', 'W2062186304', 'W2067147530', 'W2082347868', 'W2090285005', 'W2095088925', 'W2095323303', 'W2111525324', 'W2144534164', 'W2205544783', 'W2273032085', 'W2336893408', 'W2466948651', 'W2471911977', 'W2472469540', 'W2527849633', 'W2528543174', 'W2545771570', 'W2569240731', 'W2571740089', 'W2587126344', 'W2593303242', 'W2602156859', 'W2623843598', 'W2766537970', 'W2783220505', 'W2785323625', 'W2788130690', 'W2799979584', 'W2800392236', 'W2803110575', 'W2804847416', 'W2805277907', 'W2883053634', 'W2885927965', 'W2887114149', 'W2888695486', 'W2888909823', 'W2911688091', 'W2947312223', 'W2948506592', 'W2948949781', 'W2949177718', 'W2953381699', 'W2965801756', 'W2986932567', 'W2988565555', 'W2993255485', 'W2996481730', 'W3006180028', 'W3090404065', 'W3105563048', 'W3112410112', 'W3136908976', 'W3148879322', 'W3152071080', 'W3161364613', 'W3187544615', 'W3210849595', 'W3212648360', 'W3215065264', 'W325692610', 'W4205559708', 'W4205765336', 'W4225343266', 'W4225351759', 'W4229054631', 'W4294051824', 'W4309076165', 'W4309078860', 'W4313430490', 'W4317234536', 'W4378212544', 'W4379523913', 'W4382798159', 'W4385543838', 'W4385803173', 'W4387568450', 'W4388795086', 'W4389670373', 'W4389670555', 'W4389670703', 'W4390227304', 'W4390918418', 'W4392291506', 'W4393925242', 'W4404487008']",106,5,,,,,['Team Awatramani'],"['W4205765336', 'W4309076165', 'W4309078860', 'W4385543838', 'W4392291506']","['Loukia Parisiadou', 'Rajeshwar Awatramani', 'Daniel Dombeck', 'Thomas Hnasko']",['Team Awatramani'],"['Daniel Dombeck', 'Loukia Parisiadou', 'Rajeshwar Awatramani']",2024-06-09
53,289,289.0,Molecular and spatial transcriptomic classification of midbrain dopamine neurons and their alterations in a LRRK2G2019S model of Parkinson’s disease,Awatramani,10.1101/2024.06.06.597807,,1.0,W4399457078,A5082378596,Rajeshwar Awatramani,0000-0002-0713-2140,Lead-PI,Team Awatramani,Rajeshwar Awatramani,"['W1774334900', 'W1861860658', 'W1870304014', 'W1875506666', 'W1910661134', 'W1965798965', 'W1966343623', 'W1969276438', 'W1975558714', 'W1977776486', 'W1978793506', 'W1990251289', 'W1992365739', 'W2018558728', 'W2027969818', 'W2033485203', 'W2042789810', 'W2055619740', 'W2055632128', 'W2056413798', 'W2062186304', 'W2067147530', 'W2082347868', 'W2090285005', 'W2095088925', 'W2095323303', 'W2111525324', 'W2144534164', 'W2205544783', 'W2273032085', 'W2336893408', 'W2466948651', 'W2471911977', 'W2472469540', 'W2527849633', 'W2528543174', 'W2545771570', 'W2569240731', 'W2571740089', 'W2587126344', 'W2593303242', 'W2602156859', 'W2623843598', 'W2766537970', 'W2783220505', 'W2785323625', 'W2788130690', 'W2799979584', 'W2800392236', 'W2803110575', 'W2804847416', 'W2805277907', 'W2883053634', 'W2885927965', 'W2887114149', 'W2888695486', 'W2888909823', 'W2911688091', 'W2947312223', 'W2948506592', 'W2948949781', 'W2949177718', 'W2953381699', 'W2965801756', 'W2986932567', 'W2988565555', 'W2993255485', 'W2996481730', 'W3006180028', 'W3090404065', 'W3105563048', 'W3112410112', 'W3136908976', 'W3148879322', 'W3152071080', 'W3161364613', 'W3187544615', 'W3210849595', 'W3212648360', 'W3215065264', 'W325692610', 'W4205559708', 'W4205765336', 'W4225343266', 'W4225351759', 'W4229054631', 'W4294051824', 'W4309076165', 'W4309078860', 'W4313430490', 'W4317234536', 'W4378212544', 'W4379523913', 'W4382798159', 'W4385543838', 'W4385803173', 'W4387568450', 'W4388795086', 'W4389670373', 'W4389670555', 'W4389670703', 'W4390227304', 'W4390918418', 'W4392291506', 'W4393925242', 'W4404487008']",106,5,,,,,['Team Awatramani'],"['W4205765336', 'W4309076165', 'W4309078860', 'W4385543838', 'W4392291506']","['Loukia Parisiadou', 'Rajeshwar Awatramani', 'Daniel Dombeck', 'Thomas Hnasko']",['Team Awatramani'],"['Daniel Dombeck', 'Loukia Parisiadou', 'Rajeshwar Awatramani']",2024-06-09
54,300,300.0,Spatial transcriptomics reveals molecular dysfunction associated with Lewy pathology,Biederer,10.1101/2023.05.17.541144,10.1038/s41467-024-47027-8,1.0,W4393196586,A5034385515,Michael X. Henderson,0000-0001-9710-0726,Co-PI,Team Biederer,Michael Henderson,"['W1527671059', 'W1547366343', 'W1556113948', 'W1965095016', 'W1969541118', 'W1969800514', 'W1974898145', 'W1978793506', 'W1989913002', 'W1993650510', 'W1999385317', 'W2002506451', 'W2003870617', 'W2009505872', 'W2031215175', 'W2036997305', 'W2049187627', 'W2052742260', 'W2058065156', 'W2068093530', 'W2072427499', 'W2073449985', 'W2075793841', 'W2095202142', 'W2097830904', 'W2106179404', 'W2113471559', 'W2114172247', 'W2123491442', 'W2153975300', 'W2159482845', 'W2159707944', 'W2171114341', 'W2171690942', 'W2316446249', 'W2325022883', 'W2400155502', 'W2559809511', 'W2571740089', 'W2789901145', 'W2792171782', 'W2803643838', 'W2806197261', 'W2806614570', 'W2947461179', 'W2953014442', 'W2963495948', 'W2966824380', 'W2969388779', 'W2969718750', 'W2971459875', 'W2972937106', 'W2977728616', 'W2980622391', 'W2989444826', 'W2991741056', 'W2996570144', 'W3008786370', 'W3024765177', 'W3048853009', 'W3080801996', 'W3082420787', 'W3096764202', 'W3111521801', 'W3155866078', 'W3162218953', 'W3164253703', 'W3174664487', 'W3185213439', 'W3196743716', 'W3204443805', 'W3210849595', 'W4200349851', 'W4206199829', 'W4206481149', 'W4221083769', 'W4229054631', 'W4285743867', 'W4287881862', 'W4294216483', 'W4302362633', 'W4307357496', 'W4307425304', 'W4313454730', 'W4321019178', 'W4367040782', 'W4387790921', 'W4387790922', 'W4388653959', 'W4388654106', 'W4389580093', 'W4390717500', 'W4391236054', 'W4393196586']",94,2,36.0,1.0,"['Team Biederer', 'Team Lee']","['Team Biederer', 'Team Lee']","['Team Surmeier', 'Team Lee']","['W4389580093', 'W4393196586']","['D. Surmeier', 'Michael Henderson']","['Team Biederer', 'Team Lee']",['Michael Henderson'],2024-03-27
55,301,301.0,Spatial transcriptomics reveals molecular dysfunction associated with Lewy pathology,Biederer,10.1101/2023.05.17.541144,10.1038/s41467-024-47027-8,1.0,W4393196586,A5034385515,Michael X. Henderson,0000-0001-9710-0726,Co-PI,Team Lee,Michael Henderson,"['W1527671059', 'W1547366343', 'W1556113948', 'W1965095016', 'W1969541118', 'W1969800514', 'W1974898145', 'W1978793506', 'W1989913002', 'W1993650510', 'W1999385317', 'W2002506451', 'W2003870617', 'W2009505872', 'W2031215175', 'W2036997305', 'W2049187627', 'W2052742260', 'W2058065156', 'W2068093530', 'W2072427499', 'W2073449985', 'W2075793841', 'W2095202142', 'W2097830904', 'W2106179404', 'W2113471559', 'W2114172247', 'W2123491442', 'W2153975300', 'W2159482845', 'W2159707944', 'W2171114341', 'W2171690942', 'W2316446249', 'W2325022883', 'W2400155502', 'W2559809511', 'W2571740089', 'W2789901145', 'W2792171782', 'W2803643838', 'W2806197261', 'W2806614570', 'W2947461179', 'W2953014442', 'W2963495948', 'W2966824380', 'W2969388779', 'W2969718750', 'W2971459875', 'W2972937106', 'W2977728616', 'W2980622391', 'W2989444826', 'W2991741056', 'W2996570144', 'W3008786370', 'W3024765177', 'W3048853009', 'W3080801996', 'W3082420787', 'W3096764202', 'W3111521801', 'W3155866078', 'W3162218953', 'W3164253703', 'W3174664487', 'W3185213439', 'W3196743716', 'W3204443805', 'W3210849595', 'W4200349851', 'W4206199829', 'W4206481149', 'W4221083769', 'W4229054631', 'W4285743867', 'W4287881862', 'W4294216483', 'W4302362633', 'W4307357496', 'W4307425304', 'W4313454730', 'W4321019178', 'W4367040782', 'W4387790921', 'W4387790922', 'W4388653959', 'W4388654106', 'W4389580093', 'W4390717500', 'W4391236054', 'W4393196586']",94,2,36.0,1.0,"['Team Biederer', 'Team Lee']","['Team Biederer', 'Team Lee']","['Team Surmeier', 'Team Lee']","['W4389580093', 'W4393196586']","['D. Surmeier', 'Michael Henderson']","['Team Biederer', 'Team Lee']",['Michael Henderson'],2024-03-27
56,304,304.0,Vibrational Stabilization of Cluster Synchronization in Oscillator Networks,Biederer,10.48550/arXiv.2308.07302,10.1109/ojcsys.2023.3331195,1.0,W4388505368,A5009266404,Danielle S. Bassett,0000-0002-6183-4493,Collaborating PI,Team Biederer,Danielle Bassett,"['W1481616730', 'W1488435683', 'W1527468221', 'W1976166855', 'W2057864643', 'W2065096279', 'W2078282106', 'W2099174501', 'W2104765999', 'W2117817591', 'W2125757815', 'W2137011456', 'W2150135821', 'W2155898069', 'W2171304995', 'W2739337234', 'W2765263887', 'W2801424549', 'W2904837629', 'W2962968920', 'W3045606103', 'W3093452115', 'W3099323801', 'W3099984733', 'W3101833514', 'W3103186088', 'W3103280073', 'W3107060429', 'W3129444335', 'W3135742173', 'W3183546786', 'W3184835515', 'W3201887812', 'W4205733103', 'W4240899876', 'W4287390299', 'W4290988530', 'W4301018745', 'W4315472370']",39,0,3.0,0.0,['Team Biederer'],[],[],[],[],['Team Biederer'],['Danielle Bassett'],2023-11-09
57,320,320.0,LRRK2 kinase inhibition reverses G2019S mutation-dependent effects on tau pathology spread,Biederer,10.1101/2023.10.06.561190,10.1186/s40035-024-00403-2,1.0,W4392375298,A5034385515,Michael X. Henderson,0000-0001-9710-0726,Co-PI,Team Biederer,Michael Henderson,"['W1951724000', 'W1967900265', 'W1975389666', 'W1987572257', 'W1992632425', 'W2004536040', 'W2040696002', 'W2053206193', 'W2066422092', 'W2077054777', 'W2089522371', 'W2134829539', 'W2140826149', 'W2272666074', 'W2288973352', 'W2290598353', 'W2400155502', 'W2471911977', 'W2472421578', 'W2529124356', 'W2534587007', 'W2559809511', 'W2631195306', 'W2766933124', 'W2781674541', 'W2806830813', 'W2883053634', 'W2901136825', 'W2908623828', 'W2917033274', 'W2923446447', 'W2947461179', 'W2949489566', 'W2952481429', 'W2963495948', 'W2980270906', 'W2984841973', 'W2991741056', 'W2997554592', 'W3001241789', 'W3019998570', 'W3080801996', 'W3123098258', 'W3136908976', 'W3165525802', 'W3172351936', 'W4200601190', 'W4206094993', 'W4206905995', 'W4280550304', 'W4282914791', 'W4308510589', 'W4310461604', 'W4323542992', 'W4366824412', 'W4385191034', 'W4386010785', 'W4386121835', 'W4387373539', 'W4387798176', 'W4388006712']",61,1,6.0,0.0,"['Team Biederer', 'Team Lee']",[],['Team De Camilli'],['W4385191034'],['Shawn Ferguson'],"['Team Biederer', 'Team Lee']",['Michael Henderson'],2024-03-05
58,321,321.0,LRRK2 kinase inhibition reverses G2019S mutation-dependent effects on tau pathology spread,Biederer,10.1101/2023.10.06.561190,10.1186/s40035-024-00403-2,1.0,W4392375298,A5034385515,Michael X. Henderson,0000-0001-9710-0726,Co-PI,Team Lee,Michael Henderson,"['W1951724000', 'W1967900265', 'W1975389666', 'W1987572257', 'W1992632425', 'W2004536040', 'W2040696002', 'W2053206193', 'W2066422092', 'W2077054777', 'W2089522371', 'W2134829539', 'W2140826149', 'W2272666074', 'W2288973352', 'W2290598353', 'W2400155502', 'W2471911977', 'W2472421578', 'W2529124356', 'W2534587007', 'W2559809511', 'W2631195306', 'W2766933124', 'W2781674541', 'W2806830813', 'W2883053634', 'W2901136825', 'W2908623828', 'W2917033274', 'W2923446447', 'W2947461179', 'W2949489566', 'W2952481429', 'W2963495948', 'W2980270906', 'W2984841973', 'W2991741056', 'W2997554592', 'W3001241789', 'W3019998570', 'W3080801996', 'W3123098258', 'W3136908976', 'W3165525802', 'W3172351936', 'W4200601190', 'W4206094993', 'W4206905995', 'W4280550304', 'W4282914791', 'W4308510589', 'W4310461604', 'W4323542992', 'W4366824412', 'W4385191034', 'W4386010785', 'W4386121835', 'W4387373539', 'W4387798176', 'W4388006712']",61,1,6.0,0.0,"['Team Biederer', 'Team Lee']",[],['Team De Camilli'],['W4385191034'],['Shawn Ferguson'],"['Team Biederer', 'Team Lee']",['Michael Henderson'],2024-03-05
59,325,325.0,Vibrational Stabilization of Complex Network Systems,Biederer,10.48550/arXiv.2308.05823,10.23919/acc55779.2023.10156032,1.0,W4382936236,A5009266404,Danielle S. Bassett,0000-0002-6183-4493,Collaborating PI,Team Biederer,Danielle Bassett,"['W1527468221', 'W1548164611', 'W1930354283', 'W1976166855', 'W1987095365', 'W2013727221', 'W2048187422', 'W2050649877', 'W2068740779', 'W2078282106', 'W2104765999', 'W2111725629', 'W2155898069', 'W2288324390', 'W2417771668', 'W2763583074', 'W2765263887', 'W2901299895', 'W2973010807', 'W3085204120', 'W3146314528', 'W3149474715', 'W3171249365', 'W3201887812', 'W4240899876', 'W4287240214', 'W4294690626', 'W4315472370']",28,0,0.0,0.0,['Team Biederer'],[],[],[],[],['Team Biederer'],['Danielle Bassett'],2023-07-04
60,334,334.0,Cortico-amygdala synaptic structural abnormalities produced by templated aggregation of α-synuclein,Biederer,10.1101/2024.05.15.594419,,1.0,W4396965087,A5049620072,Laura A. Volpicelli‐Daley,0000-0001-8934-4018,Co-PI,Team Biederer,Laura Volpicelli‐Daley,"['W1925250651', 'W1965095016', 'W1978793506', 'W1989913002', 'W2023785308', 'W2043911138', 'W2047701363', 'W2060978874', 'W2066350882', 'W2075793841', 'W2083309020', 'W2108050717', 'W2144502720', 'W2145294211', 'W2158089391', 'W2340772577', 'W2593167039', 'W2599373832', 'W2768863537', 'W2790799100', 'W2807040929', 'W2892091513', 'W2906486676', 'W2947550142', 'W2970454472', 'W2992264745', 'W2996570144', 'W2999922464', 'W3107973581', 'W3111661931', 'W3116760400', 'W3118797466', 'W3126986776', 'W3165015881', 'W4200462975', 'W4206236394', 'W4246325803', 'W4283741897', 'W4316511422', 'W4321252268', 'W4388012059', 'W4389992959', 'W4390544469', 'W4393196586']",44,3,,,,,"['Team Wichmann', 'Team Gradinaru', 'Team Lee']","['W4283741897', 'W4389992959', 'W4393196586']","['Hong‐Yuan Chu', 'Subhojit Roy', 'Michael Henderson']",['Team Biederer'],['Laura Volpicelli‐Daley'],2024-05-17
61,338,338.0,Vibrational Control of Complex Networks,Biederer,10.48550/arXiv.2408.08263,,1.0,W4406024079,A5009266404,Danielle S. Bassett,0000-0002-6183-4493,Collaborating PI,Team Biederer,Danielle Bassett,[],0,0,,,,,[],[],[],['Team Biederer'],['Danielle Bassett'],2025-01-03
62,341,341.0,The integrated stress response in brain diseases: a double-edged sword for proteostasis and synapses,Calakos,NA_Review,10.1016/j.conb.2024.102886,0.0,W4399795832,A5085465113,Nicole Calakos,0000-0002-9918-3294,Lead-PI,Team Calakos,Nicole Calakos,"['W1491965167', 'W1604221682', 'W1891730382', 'W1903231024', 'W1965456948', 'W1966901093', 'W1968536098', 'W1970116765', 'W1972855052', 'W1977218960', 'W1978262065', 'W1991170680', 'W1991356941', 'W1997604339', 'W2000966016', 'W2002364516', 'W2002378374', 'W2010375635', 'W2020259580', 'W2022204034', 'W2025483501', 'W2025783008', 'W2026147918', 'W2027281915', 'W2028036106', 'W2031785254', 'W2034632760', 'W2037572295', 'W2042892138', 'W2044126921', 'W2044675465', 'W2046417279', 'W2050733310', 'W2050849480', 'W2051303611', 'W2052326665', 'W2054504521', 'W2054855377', 'W2056342955', 'W2058333349', 'W2073024958', 'W2081161499', 'W2084233122', 'W2084450750', 'W2086236919', 'W2086699218', 'W2086879787', 'W2089831590', 'W2089988263', 'W2090339308', 'W2094118946', 'W2098622411', 'W2109535551', 'W2114967224', 'W2119349386', 'W2130438391', 'W2131029380', 'W2135178483', 'W2142974145', 'W2148748322', 'W2150443013', 'W2150554290', 'W2150555206', 'W2164049923', 'W2167500696', 'W2171089964', 'W2191310828', 'W2239883043', 'W2257889532', 'W2302210535', 'W2302504816', 'W2345672368', 'W2474000300', 'W2518265287', 'W2518959324', 'W2527724769', 'W2532859347', 'W2536391716', 'W2560735453', 'W2565357631', 'W2565386057', 'W2566201294', 'W2605803966', 'W2614346335', 'W2617325570', 'W2617778783', 'W2733899114', 'W2735295607', 'W2744321831', 'W2749489383', 'W2761494190', 'W2770644796', 'W2772926575', 'W2774783630', 'W2775715128', 'W2784500969', 'W2785372929', 'W2791463529', 'W2797259692', 'W2861604764', 'W2884910505', 'W2887287746', 'W2891006937', 'W2898847657', 'W2905106210', 'W2918500919', 'W2919361526', 'W2944992645', 'W2947418416', 'W2953683903', 'W2962093200', 'W2973123227', 'W2984765289', 'W2990932286', 'W2999291506', 'W2999849152', 'W3000158900', 'W3002665600', 'W3003625505', 'W3004639316', 'W3012400786', 'W3019679086', 'W3091918160', 'W3108118156', 'W3109449637', 'W3117831080', 'W3134847963', 'W3152951729', 'W3156554788', 'W3161066563', 'W3185499591', 'W3193909744', 'W4210992199', 'W4220708367', 'W4220945110', 'W4280560766', 'W4281749772', 'W4289667564', 'W4310151027', 'W4311892363', 'W4321102306', 'W4381839264', 'W4384830656', 'W4386686204', 'W4388040830', 'W4388486689', 'W4389078308', 'W4389566815']",148,0,11.0,0.0,['Team Calakos'],[],[],[],[],['Team Calakos'],['Nicole Calakos'],2024-06-20
