Title,team,doi_pre,doi_pub,date_added_preprint,date_added_publication,source_preprint,source_publication,original,notes,Preprint in SF tracker,publication in SF tracker,apc_amount,apc_status,OpenAlex_ID
Insights into VPS13 properties and function reveal a new mechanism of eukaryotic lipid transport,De Camilli,NA Review,10.1016/j.bbalip.2021.159003,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W3181271241
Induced pluripotent stem cells: a tool for modeling Parkinson’s disease,Studer,NA Review,10.1016/j.tins.2022.05.001,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4281977146
"Interactions of dopamine, iron, and alpha-synuclein linked to dopaminergic neuron vulnerability in Parkinson's disease and Neurodegeneration with Brain Iron Accumulation disorders",Sulzer,NA Review,10.1016/j.nbd.2022.105920,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4308293006
LRRK2 at Striatal Synapses: Cell-Type Specificity and Mechanistic Insights,Awatramani,NA Review,10.3390/cells11010169,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4205765336
Lysosomal dysfunction in neurodegeneration: emerging concepts and methods,Vangheluwe,NA Review,10.1016/j.tins.2021.12.004,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4205593204
More of less: Novel multi-ome profiling of single human neurons,Voet,NA Review,10.1016/j.xgen.2022.100110,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4221026466
Similarities and differences between nigral and enteric dopaminergic neurons unravel distinctive involvement in Parkinson’s diseas,Sulzer,NA Review,10.1038/s41531-022-00308-9,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4224305265
State-of-the-art review of the clinical research on menopause and hormone replacement therapy association with Parkinson’s disease: What meta-analysis studies cannot tell us,Kaplitt,NA Review,10.3389/fnagi.2022.971007,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4306943613
Targeting cellular senescence with senotherapeutics: senolytics and senomorphics,Lee,NA Review,10.1111/febs.16350,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub,0,,,,,,W4205869028
The lysosome as a master regulator of iron metabolism,Vangheluwe,NA Review,10.1016/j.tibs.2021.07.003,,2024-02-14 00:00:00,NA_review,Catalog review by DS. Not on the Hub. ,0,Not Open Access. Unable to verify if ASAP funded,,,,,W3192249208
Pathological structural conversion of α-synuclein at the mitochondria induces neuronal toxicity,Wood,10.1101/2022.06.07.494932,10.1038/s41593-022-01140-3,missing,2024-02-14 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4293581901
Protein aggregation and calcium dysregulation are hallmarks of familial Parkinson’s disease in midbrain dopaminergic neurons,Wood,10.1101/2022.10.28.514238,10.1038/s41531-022-00423-7,missing,2024-02-14 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4309907185
Methods and applications for single-cell and spatial multi-omics,Voet,NA Review,10.1038/s41576-023-00580-2,,2024-02-14 00:00:00,NA_review,hub,0,,,,,,W4322768301
Genome-wide screen reveals Rab12 GTPase as a critical activator of pathogenic LRRK2 kinase,Alessi,10.1101/2023.02.17.529028,10.7554/elife.87098,before_doi_tracker,2024-02-15 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4387892944
Parkinson's VPS35[D620N] mutation induces LRRK2 mediated lysosomal association of RILPL1 and TMEM55B,Alessi,10.1101/2023.06.07.544051,10.1126/sciadv.adj1205,before_doi_tracker,2024-02-15 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4389697128
Localization of PPM1H phosphatase tunes Parkinson’s disease-linked LRRK2 kinase-mediated Rab GTPase phosphorylation and ciliogenesis,Alessi,10.1101/2023.06.15.545139,10.1073/pnas.2315171120,before_doi_tracker,2024-02-15 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4387970169
Neuromelanin accumulation drives endogenous synucleinopathy in non-human primates,Vila,10.1101/2023.08.04.551615,10.1093/brain/awad331,before_doi_tracker,2024-02-15 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4387125046
Gut mucosal cells transfer α-synuclein to the vagus nerve,Liddle,10.1101/2023.08.14.553305,10.1172/jci.insight.172192,before_doi_tracker,2024-02-15 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4389429458
Integrative analysis reveals a conserved role for the amyloid precursor protein in proteostasis during aging,Scherzer,10.1101/2023.10.06.560646,10.1038/s41467-023-42822-1,pre_doi_tracker,2024-02-15 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4388288214
Global Parkinson’s Genetics Program (GP2) Complex Network Protocol: Defining the causes of sporadic Parkinson’s disease,GP2,10.1101/2022.11.25.22282764,10.1038/s41531-023-00533-w,2024-02-15 00:00:00,2024-02-15 00:00:00,biorxiv,biorxiv_linked,1,Not sure if this paper should be in the tracker or not. It's labelled as a protocol (in the title),0.0,0,,,W4386640166
Polygenic Parkinson’s disease genetic risk score as risk modifier of parkinsonism in Gaucher disease,GP2,10.1101/2022.12.19.22280175,10.1002/mds.29342,2024-02-15 00:00:00,2024-02-15 00:00:00,biorxiv,biorxiv_linked,1,,1.0,1,,,W4323066990
An open-source head-fixation and implant-protection system for mice,Calakos,NA_hardware article,10.1016/j.ohx.2022.e00391,NA_hardware article,2024-02-15 00:00:00,NA_review,comp,0,,,1,,,W4313219376
"A leaky gut dysregulates gene networks in the brain associated with immune activation, oxidative stress, and myelination in a mouse model of colitis",Liddle,10.1101/2023.08.10.552488,10.1016/j.bbi.2024.02.007,before_doi_tracker,2024-02-15 00:00:00,before_doi_tracker,linkedin,1,,1.0,1,,,W4391656225
Nigrostriatal tau pathology in parkinsonism and Parkinson’s disease,Kordower,10.1101/2022.08.04.502831,10.1093/brain/awad388,before_doi_tracker,2024-02-20 00:00:00,before_doi_tracker,google_alert,1,,1.0,1,3658.0,Paid,W4388994083
The VEGFs/VEGFRs system in Alzheimer’s and Parkinson’s diseases: Pathophysiological roles and therapeutic implications,Vila,NA_review,10.1016/j.phrs.2024.107101,NA_review,2024-02-26 00:00:00,NA_review,hub,0,,,,,,W4391605343
Pathways controlling neurotoxicity and proteostasis in mitochondrial complex I deficiency | bioRxiv,Scherzer,10.1101/2024.01.08.574634,10.1093/hmg/ddae018,before_doi_tracker,2024-03-02 00:00:00,before_doi_tracker,hub,1,,1.0,,,,W4391592420
Inhibition of Parkinson’s Disease-related LRRK2 by type-I and type-II kinase inhibitors: activity and structures | bioRxiv,Reck-Peterson,10.1101/2023.09.07.556689,10.1126/sciadv.adk6191,before_doi_tracker,2024-03-05 00:00:00,before_doi_tracker,other(conference),1,2024 CRN Investigator's Meeting,1.0,,,,W4389233086
Peripheral MC1R activation modulates immune responses and is neuroprotective in a mouse model of Parkinson's disease,Chen,10.21203/rs.3.rs-3042571/v1,10.1007/s11481-023-10094-7,before_doi_tracker,2024-03-11 00:00:00,before_doi_tracker,hub,1,,1.0,,,,W4389947944
Dopamine neuron activity encodes the length of upcoming contralateral movement sequences,Surmeier,10.1101/2021.04.20.440527,10.1016/j.cub.2024.01.067,2024-03-11 00:00:00,2024-03-11 00:00:00,hub,hub,1,,1.0,1,7386.75,Paid,W4391934167
The SATB1-MIR22-GBA axis mediates glucocerebroside accumulation inducing a cellular senescence-like phenotype in dopaminergic neurons,Studer,10.1101/2023.07.19.549710,10.1111/acel.14077,before_doi_tracker,2024-03-19 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4391483361
GABAergic regulation of striatal spiny projection neurons depends upon their activity state,Surmeier,10.1101/2023.03.14.532627,10.1371/journal.pbio.3002483,before_doi_tracker,2024-03-19 00:00:00,before_doi_tracker,comp,1,,1.0,1,,,W4391381044
Synapsin E-domain is essential for α-synuclein function,Gradinaru,10.1101/2023.06.24.546170,10.7554/elife.89687,before_doi_tracker,2024-03-19 00:00:00,before_doi_tracker,comp,1,,1.0,1,,,W4385664850
Disrupted sleep-wake regulation in the MCI-Park mouse model of Parkinson’s disease | bioRxiv,Surmeier,10.1101/2023.11.09.566376,10.1038/s41531-024-00670-w,before_doi_tracker,2024-03-19 00:00:00,before_doi_tracker,comp,1,A published correction includes the protocol DOIs: 10.1038/s41531-024-00746-7,1.0,1,3665.0,Paid,W4392639128
Reduced Thalamic Excitation to Motor Cortical Pyramidal Tract Neurons in Parkinsonism,Wichmann,10.1101/2022.09.24.509340,10.1126/sciadv.adg3038,before_doi_tracker,2024-03-19 00:00:00,before_doi_tracker,works,1,,1.0,1,,,W4386090431
Simulations predict differing phase responses to excitation vs. inhibition intheta-resonant pyramidal neurons,Wichmann,10.1101/2023.03.20.533519,10.1152/jn.00160.2023,before_doi_tracker,2024-03-25 00:00:00,before_doi_tracker,other(os_team),1,,1.0,1,,,W4386084524
Spatial transcriptomics reveals molecular dysfunction associated with Lewy pathology,Biederer,10.1101/2023.05.17.541144,10.1038/s41467-024-47027-8,before_doi_tracker,2024-03-27 00:00:00,before_doi_tracker,hub,1,,1.0,1,6790.0,Paid,W4393196586
A topographical atlas of αSyn dosage and cell-type expression in the mouse brain and periphery | bioRxiv,Schlossmacher,10.1101/2023.10.05.559770,10.1038/s41531-024-00672-8,before_doi_tracker,2024-03-27 00:00:00,before_doi_tracker,hub,1,,1.0,1,4141.45,Paid,W4392963971
Dopamine across timescales and cell types: Relevance for phenotypes in Parkinson's disease progression,Edwards,NA_review,10.1016/j.expneurol.2024.114693,NA_review,2024-04-01 00:00:00,NA_review,hub,0,,,1,,,W4391055627
Alterations in neurotransmitter co-release in Parkinson's disease,Edwards,NA_review,10.1016/j.expneurol.2023.114562,NA_review,2024-04-01 00:00:00,NA_review,hub,0,,,1,,,W4387373549
The role of α-synuclein in exocytosis,Edwards,NA_review,10.1016/j.expneurol.2023.114668,NA_review,2024-04-01 00:00:00,NA_review,hub,0,,,1,,,W4390168938
Role of dopamine neuron activity in Parkinson's disease pathophysiology,Edwards,NA_review,10.1016/j.expneurol.2023.114645,NA_review,2024-04-01 00:00:00,NA_review,hub,0,,,1,2238.5,Paid,W4389537908
Lessons from inducible pluripotent stem cell models on neuronal senescence in aging and neurodegeneration,"Senescence WG (Studer, Mobley, Lee)",NA_review,10.1038/s43587-024-00586-3,NA_review,2024-04-01 00:00:00,NA_review,hub,0,,,1,,,W4392356353
No Evidence That Glucosylsphingosine Is a Biomarker for Parkinson's Disease: Statistical Differences Do Not Necessarily Indicate Biological Significance,Vangheluwe,NA_review,10.1002/mds.28935,NA_review,2024-04-01 00:00:00,NA_review,works,0,short commentary article,,1,,,W4210466597
LRRK2 kinase inhibition reverses G2019S mutation-dependent effects on tau pathology spread,Biederer,10.1101/2023.10.06.561190,10.1186/s40035-024-00403-2,before_doi_tracker,2024-04-05 00:00:00,before_doi_tracker,hub,1,,1.0,1,2965.0,Paid,W4392375298
Combinatorial selective ER-phagy remodels the ER during neurogensis,Harper,10.1101/2023.06.26.546565,10.1038/s41556-024-01356-4,before_doi_tracker,2024-04-08 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,12290.0,Paid,W4392356816
Association of genetic variation at the GJA5/ACP6 locus with motor progression in Parkinson’s,Hardy,10.1101/2022.10.28.22281645,10.1212/nxg.0000000000200092,before_doi_tracker,2024-04-08 00:00:00,before_doi_tracker,comp,1,the publication title is different than the preprint title,1.0,1,,,W4385650789
scNAT: a deep learning method for integrating paired single-cell RNA and T cell receptor sequencing profiles,Hafler,does_not_exist,10.1186/s13059-023-03129-y,,2024-04-08 00:00:00,NA_no_preprint,comp,1,,,1,,,W4389893752
Seed Amplification Assay to Diagnose Early Parkinson's and Predict Dopaminergic Deficit Progression,PPMI,NA_review,10.1002/mds.28715,NA_review,2024-04-08 00:00:00,NA_review,comp,0,"This article was already in the publication tracker, but at the bottom of the PPMI sheet, labelled as a review, but without any additional information.",,1,,,W3178164773
Peripheral neuronal activation shapes the microbiome and alters gut physiology,Sulzer,10.1101/2021.04.12.439539,10.1016/j.celrep.2024.113953,before_doi_tracker,2024-04-08 00:00:00,before_doi_tracker,hub,1,,1.0,,5200.0,Paid,W4393040330
RAB3 phosphorylation by pathogenic LRRK2 impairs trafficking of synaptic vesicle precursors,Hurley,10.1101/2023.07.25.550521,10.1083/jcb.202307092,before_doi_tracker,2024-04-08 00:00:00,before_doi_tracker,hub,1,,1.0,1,5300.0,Paid,W4393040800
Early deficits in an in vitro striatal microcircuit model carrying the Parkinson’s GBA-N370S mutation | npj Parkinson's Disease (springer.com),Cragg,10.1101/2023.03.01.530566,10.1038/s41531-024-00694-2,before_doi_tracker,2024-04-15 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4394753925
Sex-specific microglial responses to glucocerebrosidase inhibition: relevance to GBA1-linked Parkinson disease,Schapira,10.1101/2022.12.05.519143,10.3390/cells12030343,before_doi_tracker,2024-04-19 00:00:00,before_doi_tracker,doi_tracker,1,,1.0,1,,,W4316690364
The chromatin modulating NSL complex regulates genes and pathways genetically linked to Parkinson’s disease,Hardy,10.1101/2023.01.16.523926,10.1093/brain/awad246,before_doi_tracker,2024-04-19 00:00:00,before_doi_tracker,doi_tracker,1,"The publication has a different name, it is: ""The non-specific lethal complex regulates genes and pathways genetically linked to Parkinson’s disease""",1.0,1,,,W4385406197
"Single cell spatial transcriptomic and translatomic profiling of dopaminergic neurons in health, ageing and disease",Cragg,10.1101/2023.04.20.537553,10.1016/j.celrep.2024.113784,before_doi_tracker,2024-04-20 00:00:00,before_doi_tracker,hub,1,,1.0,1,3714.5,Paid,W4392010121
Visualizing chaperone-mediated multistep assembly of the human 20S proteasome,Harper,10.1101/2024.01.27.577538,10.1038/s41594-024-01268-9,2024-02-07 00:00:00,2024-04-21 00:00:00,hub,biorxiv_linked,1,,1.0,1,,,W4394691490
An open-source MRI compatible frame for multimodal presurgical mapping in macaque and capuchin monkeys,Strick,10.1101/2024.02.17.580767,10.1016/j.jneumeth.2024.110133,2024-02-24 00:00:00,2024-04-22 00:00:00,comms_team_submission,biorxiv_linked,1,,1.0,1,3390.0,Paid,W4394014279
Serum Uric Acid as a Putative Biomarker in Prodromal Parkinson’s Disease: Longitudinal Data from the PPMI Study,PPMI,,10.3233/jpd-230007,,2024-04-22 00:00:00,NA_no_preprint,comp,1,,,1,2000.0,Paid,W4383101796
Transcriptional programs mediating neuronal toxicity and altered glial-neuronal signaling in a Drosophila knock-in tauopathy model,Scherzer,10.1101/2024.02.02.578624,10.1101/gr.278576.123,2024-02-07 00:00:00,2024-04-22 00:00:00,hub,hub,1,FLAG - Potential Non-ASAP Funded,1.0,1,,,W4394676908
"Scalable, flexible carbon fiber electrode thread arrays for three-dimensional spatial profiling of neurochemical activity in deep brain structures of rodents",Strick,10.1101/2023.04.15.537033,10.1016/j.bios.2023.115625,before_doi_tracker,2024-04-23 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4386034921
Genetic and pharmacological reduction of CDK14 mitigates synucleinopathy,Schlossmacher,10.1101/2022.05.02.490309,10.1038/s41419-024-06534-8,before_doi_tracker,2024-04-23 00:00:00,before_doi_tracker,works,1,,1.0,1,5497.45,Paid,W4393941511
Characterizing enteric neurons in dopamine transporter (DAT)-Cre reporter mice reveals dopaminergic subtypes with dual-transmitter content,Desjardins,10.1101/2023.06.16.545271,10.1111/ejn.16307,before_doi_tracker,2024-04-23 00:00:00,before_doi_tracker,works,1,,1.0,1,,,W4392852013
RASP: Optimal single fluorescent puncta detection in complex cellular backgrounds,Wood,10.1101/2023.12.18.572148,10.1021/acs.jpcb.4c00174,2024-02-21 00:00:00,2024-04-23 00:00:00,comp,works,1,,1.0,1,,,W4394622590
Biochemical fractionation of human α-Synuclein in a Drosophila model of synucleinopathies,Liddle,10.1101/2024.02.05.579034,10.3390/ijms25073643,2024-04-15 00:00:00,2024-04-23 00:00:00,doi_tracker,works,1,,1.0,1,,,W4393142786
Disease progression strikingly differs in research and real-world Parkinson’s populations,Scherzer,10.1101/2024.02.17.24302981,10.1038/s41531-024-00667-5,2024-02-20 00:00:00,2024-04-23 00:00:00,hub,works,1,,1.0,1,,,W4392740577
A Comparative Biochemical and Pathological Evaluation of Brain Samples from Knock-In Murine Models of Gaucher Disease,Vangheluwe,10.20944/preprints202401.0626.v1,10.3390/ijms25031827,2024-09-30 00:00:00,2024-04-23 00:00:00,lens,works,1,,1.0,1,3355.08,Paid,W4391472513
Modulation of α-synuclein in vitro aggregation kinetics by its alternative splice isoforms,Wood,,10.1073/pnas.2313465121,,2024-04-23 00:00:00,NA_no_preprint,works,1,unclear whether a preprint exists,,1,,,W4391594219
Motor cortical circuit adaptations in parkinsonism,Wichmann,NA_review,10.4103/1673-5374.392884,NA_review,2024-04-23 00:00:00,NA_review,works,0,,,1,,,W4390730026
The Gut Microbiota in Parkinson Disease: Interactions with Drugs and Potential for Therapeutic Applications,Schapira,NA_review,10.1007/s40263-024-01073-4,NA_review,2024-04-24 00:00:00,NA_review,works,0,,,1,4865.0,Paid,W4393901714
Development And Characterization Of A Non-Human Primate Model Of Disseminated Synucleinopathy,Vila,10.1101/2023.12.15.571818,10.3389/fnana.2024.1355940,before_doi_tracker,2024-04-29 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,3295.0,Paid,W4393229431
GBA1 rs3115534 Is Associated with REM Sleep Behavior Disorder in Parkinson's Disease in Nigerians,GP2,10.1101/2023.11.07.23298092,10.1002/mds.29753,before_doi_tracker,2024-04-29 00:00:00,before_doi_tracker,works,1,,1.0,1,4270.0,Paid,W4392110015
A RAB7A Phosphoswitch Coordinates Rubicon Homology Protein Regulation of PINK1/Parkin-Dependent Mitophagy,Hurley,10.1101/2023.08.28.555228,10.1083/jcb.202309015,before_doi_tracker,2024-05-10 00:00:00,before_doi_tracker,other(email from PM to Devin and Hetal),1,,1.0,1,6000.0,Paid,W4396811660
Parkinsonism Sac domain mutation in Synaptojanin-1 affects ciliary properties in iPSC-derived dopaminergic neurons,De Camilli,10.1101/2023.10.12.562142,10.1073/pnas.2318943121,2024-03-22 00:00:00,2024-05-10 00:00:00,comms_team_submission,works,1,,1.0,1,,,W4394909958
"RAB32 Ser71Arg in autosomal dominant Parkinson's disease: linkage, association, and functional analyses","GP2, Alessi (+Hardy, Wood)",10.1101/2024.01.17.24300927,10.1016/S1474-4422(24)00121-2,2024-04-15 00:00:00,2024-05-10 00:00:00,doi_tracker,works,1,"preprint title was different: ""A pathogenic variant in RAB32 causes autosomal dominant Parkinson’s disease and activates LRRK2 kinase""",1.0,1,,,W4394695501
"Integrating population genetics, stem cell biology and cellular genomics to study complex human diseases",Studer,NA_review,10.1038/s41588-024-01731-9,NA_review,2024-05-14 00:00:00,NA_review,google_alert,0,,,1,,,W4396870546
"Concerning neuromodulation as treatment of neurological and neuropsychiatric disorder: Insights gained from selective targeting of the subthalamic nucleus, para-subthalamic nucleus and zona incerta in rodents",Awatramani,NA_Review,10.1016/j.neuropharm.2024.110003,NA_review,2024-05-22 00:00:00,NA_review,hub,0,,,,,,W4398194745
Neither alpha-synuclein fibril strain nor host murine genotype influences seeding efficacy,Kordower,10.1101/2023.08.24.554646,10.1038/s41531-024-00679-1,2024-06-11 00:00:00,2024-05-28 00:00:00,comp,google_alert,1,,1.0,1,3665.0,Paid,W4398172122
KAT8 compound inhibition inhibits PINK1/Parkin-dependent mitophagy and initiates mitochondrial delivery to lysosomes | bioRxiv,Hardy,10.1101/2023.08.03.551835,10.1038/s41598-024-60602-9,before_doi_tracker,2024-05-31 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,2665.0,Paid,W4398200995
Autophagy preferentially degrades non-fibrillar polyQ aggregates,Harper,10.1101/2023.08.08.552291,10.1016/j.molcel.2024.04.018,before_doi_tracker,2024-05-31 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4396980221
iATPSnFR2: a high dynamic range fluorescent sensor for monitoring intracellular ATP,De Camilli,10.1101/2023.08.24.554624,10.1073/pnas.2314604121,before_doi_tracker,2024-05-31 00:00:00,before_doi_tracker,biorxiv_linked,1,,1.0,1,,,W4396919562
Neuropathological assessment of the olfactory bulb and tract in individuals with COVID-19,Schlossmacher,10.1101/2023.12.18.572180,10.1186/s40478-024-01761-8,before_doi_tracker,2024-05-31 00:00:00,before_doi_tracker,biorxiv_linked; hub,1,,1.0,1,3665.0,Paid,W4396622582
Cell-type-directed design of synthetic enhancers,Voet,10.1101/2022.07.26.501466,10.1038/s41586-023-06936-2,2024-05-31 00:00:00,2024-05-31 00:00:00,comp,comp,1,,1.0,1,,,W4389613138
Mechanism of human PINK1 activation at the TOM complex in a reconstituted system | bioRxiv,Alessi,10.1101/2023.12.23.573181,10.1126/sciadv.adn7191,before_doi_tracker,2024-06-11 00:00:00,before_doi_tracker,hub,1,,1.0,`,4950.0,Paid,W4399425564
Alpha-synuclein aggregates are phosphatase resistant,Kordower,10.1101/2023.11.20.567854,10.1186/s40478-024-01785-0,2024-05-31 00:00:00,2024-06-11 00:00:00,comp; works,works,1,,1.0,1,3665.0,Paid,W4399230878
Neurovascular and immune factors of vulnerability of substantia nigra dopaminergic neurons in non-human primates,Vila,,10.1038/s41531-024-00735-w,,2024-06-18 00:00:00,NA_no_preprint,google_alert,1,,,1,,,W4399754101
Genome-wide CRISPR screen identifies neddylation as a regulator of neuronal aging and AD neurodegeneration,Studer,,10.1016/j.stem.2024.06.001,,2024-06-24 00:00:00,NA_no_preprint,linkedin,1,,,1,,,W4399970235
Open-Source Platform for Kinematic Analysis of Mouse Forelimb Movement,Wichmann,10.1101/2024.01.31.578239,10.1016/j.xpro.2024.103140,2024-02-07 00:00:00,2024-06-27 00:00:00,os_inbox,biorxiv_linked,1,,1.0,1,1500.0,Paid,W4399857718
Genome-wide determinants of mortality and clinical progression in Parkinson’s disease,Hardy,10.1101/2022.07.07.22277297,10.1038/s41531-024-00729-8,before_doi_tracker,2024-06-27 00:00:00,before_doi_tracker,comp,1,,1.0,1,4180.0,Paid,W4399432024
The annotation of GBA1 has been concealed by its protein-coding pseudogene GBAP1,Hardy,10.1101/2022.10.21.513169,10.1126/sciadv.adk1296,before_doi_tracker,2024-06-27 00:00:00,before_doi_tracker,hub,1,the publication title is different than the preprint title; the DOI uploaded to the hub was missing the last number,1.0,1,,,W4400033871
Control of mitophagy initiation and progression by the TBK1 adaptors NAP1 and SINTBAD,Hurley,10.1101/2023.09.25.559255,10.1038/s41594-024-01338-y,before_doi_tracker,2024-06-27 00:00:00,before_doi_tracker,hub,1,,1.0,1,12290.0,Paid,W4400007735
A fluid-walled microfluidic platform for human neuron microcircuits and directed axotomy | bioRxiv,Cragg,10.1101/2023.10.14.562004,10.1039/d4lc00107a,before_doi_tracker,2024-06-27 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4399401317
Investigation of the genetic aetiology of Lewy body diseases with and without dementia | medRxiv,Hardy,10.1101/2023.10.17.23297157,10.1093/braincomms/fcae190,before_doi_tracker,2024-06-27 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4399200646
TNF-NF-κB-p53 axis restricts in vivo survival of hPSC-derived dopamine neurons,Studer,10.1101/2023.03.29.534819,10.1016/j.cell.2024.05.030,before_doi_tracker,2024-06-27 00:00:00,before_doi_tracker,works,1,,1.0,1,,,W4399538948
Development of LRRK2 designed ankyrin-repeat proteins,Reck-Peterson,10.1101/2023.11.14.567123,10.1016/j.jbc.2024.107469,2024-04-19 00:00:00,2024-06-27 00:00:00,doi_tracker,works,1,,1.0,1,,,W4399566509
Underrepresented Populations in Parkinson's Genetics Research: Current Landscape and Future Directions,GP2,10.1101/2021.12.07.21266995,10.1002/mds.29126,2024-06-28 00:00:00,2024-06-28 00:00:00,comp,comp,0,"preprint is titled ""Diversity in Parkinson’s disease genetics research: current landscape and future directions""",1.0,1,,,W4286586502
Synchronous Measurements of Extracellular Action Potentials and Neurochemical Activity with Carbon Fiber Electrodes in Nonhuman Primates | bioRxiv,Surmeier,10.1101/2023.12.23.573130,10.1523/ENEURO.0001-24.2024,before_doi_tracker,2024-07-13 00:00:00,before_doi_tracker,hub,1,,1.0,1,2965.0,Paid,W4400018516
A neurocomputational view of the effects of Parkinson’s disease on speech production,Strick,NA_Review,10.3389/fnhum.2024.1383714,NA_Review,2024-07-18 00:00:00,NA_review,works,0,,,1,,,W4396934609
Cortico-basal ganglia plasticity in motor learning,Surmeier,NA_Review,10.1016/j.neuron.2024.06.014,,2024-07-22 00:00:00,NA_review,os_inbox,0,,,1,9350.0,Paid,W4400582704
The integrated stress response in brain diseases: a double-edged sword for proteostasis and synapses,Calakos,NA_Review,10.1016/j.conb.2024.102886,,2024-07-22 00:00:00,NA_review,os_inbox,0,,,1,4480.0,Paid,W4399795832
